-5.264, 40.523, 99.534
-6.565, 39.004, 99.534
-7.87, 37.488, 99.588
-9.179, 35.976, 99.661
-10.491, 34.467, 99.756
-11.806, 32.96, 99.877
-13.123, 31.455, 99.969
-14.44, 29.95, 99.778
-15.756, 28.443, 99.544
-17.068, 26.934, 99.26
-18.373, 25.418, 98.517
-19.667, 23.893, 98.043
-20.944, 22.354, 97.496
-22.197, 20.795, 96.166
-23.417, 19.211, 95.387
-24.588, 17.59, 93.651
-25.699, 15.927, 91.824
-26.73, 14.213, 90.184
-27.66, 12.443, 89.072
-28.469, 10.614, 88.807
-29.147, 8.733, 88.94
-29.691, 6.809, 89.884
-30.109, 4.854, 91.376
-30.417, 2.878, 93.084
-30.635, 0.89, 93.927
-30.768, -1.105, 95.476
-30.847, -3.104, 93.184
-30.87, -5.104, 90.417
-30.75, -7.089, 87.579
-30.242, -9.023, 84.629
-29.709, -10.951, 81.572
-29.136, -12.867, 78.397
-28.497, -14.762, 75.087
-27.75, -16.617, 71.626
-26.836, -18.394, 67.99
-25.663, -20.01, 64.151
-24.172, -21.335, 61.264
-22.408, -22.267, 70.203
-20.495, -22.845, 82.234
-18.526, -23.188, 90.971
-16.535, -23.38, 94.662
-14.538, -23.489, 97.094
-12.539, -23.545, 97.963
-10.539, -23.574, 97.625
-8.539, -23.588, 94.988
-6.539, -23.596, 92.275
-4.54, -23.605, 89.48
-2.54, -23.617, 86.595
-0.54, -23.626, 83.61
1.46, -23.624, 80.515
3.46, -23.641, 77.296
5.46, -23.675, 73.937
7.459, -23.724, 70.418
9.458, -23.788, 66.713
11.457, -23.865, 62.791
13.455, -23.95, 58.606
15.453, -24.041, 54.099
17.451, -24.129, 49.18
19.45, -24.203, 43.711
21.449, -24.239, 37.452
23.447, -24.17, 29.915
25.304, -23.578, 20
24.482, -21.918, 46.569
22.933, -20.656, 54.564
21.299, -19.503, 49.692
19.63, -18.401, 44.286
17.942, -17.328, 38.122
16.244, -16.272, 30.745
14.538, -15.227, 20.911
13.067, -14.334, 0
13.067, -14.334, 0
-4.029, -3.953, 0
endData
127
100
200
-5.264, 40.523, -25.999, 16.214, -31.091, 14.023, -30.866, -6.639
-30.866, -6.639, -26.15, -25.054, -24.827, -23.39, -1.233, -23.628
-1.233, -23.628, 24.594, -23.404, 35.946, -28.157, 13.067, -14.334
